Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict
1459,5,10,8413,24,11133,6834,362
11565,4,1341,77,68,11135,19615,456
1778,3,1302,208,125,11264,779,433
1,2,2086,70,3290,11278,10893,428
7681,2,6097,675,814,11480,9637,7844
11705,1,1274,10,215,11487,1298,151
17164,3,854,7919,762,11515,8293,9
18773,4,5918,19513,705,11606,13731,553
2194,5,1384,16739,2953,11695,5779,2168
11704,6,9952,72,538,11699,5854,159
16547,7,302,5,1,11726,1639,2272
4297,8,7980,83,161,11877,10513,5328
10125,9,296,95,145,11880,15458,384
4693,10,2525,11,171,11913,204,7001
7680,11,1839,452,39,11995,12416,316
22606,12,462,105,68,11996,9453,389
1,14,226,106,90,12185,75,136
32,15,1527,3,117,12511,15954,9698
917,16,2633,7,88,12656,21323,282
953,17,3837,14,4082,12685,1034,7801
6450,18,5137,2,8200,12703,21055,3994
4847,1102,3843,6,120,12737,6268,9611
1,1103,3850,5,8038,13131,608,9609
971,1108,3858,86,8386,13218,15419,9559
11814,1110,3865,4120,3,13219,11952,7819
6180,4195,3875,3992,157,13228,6473,8142
3395,4196,3880,262,8083,13254,4129,7974
6321,4197,101,5,8237,13285,1164,1581
97,4198,3875,2223,157,13364,12017,8142
41,4199,2067,80,295,13380,3046,6850
20419,4200,1777,4117,574,13601,840,2016
15956,4201,5628,35,784,13980,7006,1966
207,4203,1424,869,483,14148,12313,1931
1,5394,1837,4871,758,14153,15854,6222
3098,5396,3812,47,12270,14155,820,6960
2453,1,3748,1419,122,14161,8740,7885
8228,1,588,48,11959,14208,4299,1939
2898,2,618,13102,5068,14403,13190,8803
1,3,225,1,162,14655,19327,410
2868,4,3975,21,5379,14742,6204,7948
2372,5,11298,2,257,14749,170,4506
663,6,224,1,5136,14784,3911,1081
11914,7,11299,6,137,14884,8814,4424
12936,8,7720,116,8205,15089,21037,4360
15223,9,5,23,5092,15294,17526,1439
8516,11,2359,11,7891,15346,12730,7887
4318,12,26,9,372,15659,2489,353
3460,15,78,5,8666,15664,16651,972
6049,18,9175,13,402,15764,9024,3852
662,19,8691,274,354,15767,15416,4049
742,23,570,84,4,15816,2220,9097
11913,4193,5504,1,9020,15925,10513,512
5180,4194,2489,2,1363,15971,14018,8632
11788,4197,2301,25,8226,16049,5426,8161
3459,4199,3981,29,5163,16210,2676,7753
4317,2,7708,5,8898,16330,16838,4658
1,1,5981,32,45,16499,4991,5585
6633,2,3357,7,311,16500,5290,855
8453,2,3363,13,95,16572,8371,1050
17632,3,4596,98,158,17133,5814,666
1194,5,804,110,221,17152,833,5063
2736,6,630,194,4957,17387,12699,8130
18580,7,809,139,70,17388,17707,7155
1083,11,816,103,81,17394,2406,5064
6632,14,687,203,57,17401,299,7177
1,5393,826,102,193,17750,4078,7042
1719,4,842,126,153,17802,1015,7722
1851,2,848,17735,68,17908,3920,6369
4819,1,115,2,4220,18037,20199,613
6110,1,1210,22,1147,18041,11060,1857
1130,2,1563,98,3706,18266,1261,1827
397,14,1785,27,3283,18336,1403,5113
1821,17,422,2,1211,18345,172,837
4535,4191,1602,29,454,18371,1504,184
1768,4192,1083,107,81,18380,16068,950
5682,5,806,28,3029,18719,816,844
1131,3,1283,111,344,18791,1601,1862
16049,2,1076,36,1245,19013,15319,229
11453,3,1049,91,465,19446,21,239
1,5,724,103,749,19624,351,484
3402,9,1349,18,706,19705,9386,2816
3318,12,48,20,1256,19967,11824,448
2575,3,2421,18029,874,19992,353,4771
36,3,1451,159,598,19996,9222,2419
9860,4,638,141,1351,20088,17814,1163
2004,5,701,343,4611,20496,10859,381
8036,7,2049,787,4988,20645,9287,4477
9238,9,972,693,4610,20646,8577,16
8083,9679,266,61,3411,20669,5900,51
2892,9,784,57,1323,20931,11874,91
2891,7,380,866,849,21202,15516,193
11940,6,831,142,294,21257,2885,304
4734,5,1017,127,690,21586,7615,488
1,4,823,109,592,21693,8737,437
8602,3,935,4928,961,21909,307,182
8072,2,2739,167,170,22001,6761,1220
218,1,162,3,7787,22025,69,345
3497,1,2395,162,5208,22035,10586,5789
556,2,3893,18170,1221,22100,5586,4108
15612,9,569,368,1,22142,5031,670
5439,11,1211,360,733,22360,5235,5720
4768,14,1084,8887,3716,22376,10683,388
11096,1096,1409,736,830,22411,9179,1291
2532,1100,2225,89,3041,22424,2533,5616
2597,1101,1468,18087,483,22634,6287,128
217,1102,264,111,16,22637,8668,46
1,1104,599,829,749,22674,8674,47
12364,1106,261,124,405,23072,10402,57
13787,2771,1001,1,197,23104,7896,5730
19863,4188,572,6,831,23105,8541,209
1,4189,13,48,127,23106,6104,95
5562,4194,1864,578,6,23108,10456,5699
3609,4199,278,50,904,23112,14033,56
604,4200,2943,16598,1099,23115,12910,5741
5508,4202,1054,16597,597,23117,6375,5690
2979,5386,563,8,1312,23118,1757,266
5085,19972,688,2,4725,23119,11493,119
1540,5,979,1874,869,23120,3342,5688
9035,2,605,6,844,23121,4011,82
630,1,2963,713,534,23122,5962,5637
