Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict
5,16,33,2,6,3,320,10
82,31,40,4,3,3,358,34
6,709,14,1,20,4,1122,31
90,3,21,2,1,11,163,17
5,2,11,30,1,6,391,6
6,1,14,94,23,3,906,6
323,1,7,6,16,4,904,8
511,2,1,1,1,5,311,1
511,725,1,6,1,11,465,1
2,727,1,65,1,3,341,1
3,4,67,23,1,10,147,17
2,10,31,1,1,3,518,26
74,11,36,1,1,7,856,27
89,726,46,352,2,1,30,74
1,619,40,2,3,2,695,28
2,5,55,5,3,1,154,39
364,1,46,4,5,1,743,22
715,1,40,1,26,2,1028,18
78,2,16,9,1,2,609,34
363,3,63,2,1,3,568,51
370,4,22,1,1,4,583,26
371,5,26,1,2,2,12,27
372,59,1,1,2,7,27,11
1,638,20,2,27,1,466,30
1,642,55,1,1,2,942,39
71,612,51,3,2,3,120,27
48,2,28,1,2,6,1080,35
1,2,5,1,3,1,760,8
1,5,10,2,11,1,155,32
2,1,13,1,17,1,536,33
2,2,37,25,2,1,51,61
28,4,32,6,3,2,568,25
3,5,14,1,4,2,525,36
4,6,20,1,23,1,916,34
3,7,25,3,3,1,841,24
4,1,66,1,28,1,272,41
5,1,20,1,27,2,623,23
2,4,27,2,26,2,556,29
484,479,45,4,3,14,496,48
485,480,59,1,1,1,2,28
486,1,62,1,1,3,306,29
565,3,64,5,2,4,999,10
498,3,34,14,3,4,103,67
3,2,22,1,10,7,506,50
63,707,35,7,1,7,1089,52
46,5,62,1,2,3,668,32
1,3,16,3,4,4,25,20
1,5,45,2,225,6,836,31
1,2,41,1,5,4,706,29
1,1,57,3,321,1,808,76
2,2,47,15,5,1,243,20
3,703,35,1,14,11,504,55
3,5,6,2,1,1,458,22
233,6,28,4,1,2,630,62
1,3,43,1,2,2,750,39
1,1,91,1,2,3,148,42
2,1,31,17,3,4,568,3
3,2,95,1,4,5,24,41
3,5,63,12,439,8,842,45
291,5,50,1,6,3,551,32
568,53,53,2,4,5,617,31
569,4,54,1,365,1,223,45
570,1,87,1,9,3,547,70
1,1,6,2,9,5,223,2
2,2,52,1,8,2,766,66
2,3,75,2,124,3,269,43
3,4,73,133,2,6,748,30
4,5,8,1,3,1,835,70
5,6,74,1,4,2,877,19
6,5,1,12,5,5,375,10
297,690,75,66,7,1,239,21
298,1,13,8,2,1,497,1
5,2,17,38,7,4,506,36
294,5,2,1,8,1,56,8
296,4,51,30,40,2,647,42
297,1,23,214,40,1,141,14
298,3,73,2,15,17,527,35
1,322,41,1,13,5,310,36
2,2,20,1,16,7,701,36
2,1,9,3,2,16,726,7
3,1,27,1,3,17,403,27
4,1,14,1,13,17,644,29
2,1,16,339,276,3,40,39
3,1,42,1,45,4,656,36
4,1,47,838,2,4,657,20
477,1,36,2,20,12,391,10
3,1,53,9,1,4,236,19
4,2,55,1,35,5,869,34
5,3,20,616,17,5,437,9
288,4,20,1,3,67,725,17
3,5,28,1,2,11,405,18
475,25,38,6,275,26,53,38
1,1,34,1,18,1,763,45
1,671,26,31,38,2,674,14
1,4,31,1,36,1,581,24
47,6,36,14,34,58,453,15
333,8,21,2,233,5,427,5
334,5,40,1,1,6,181,31
1,3,20,1,43,17,1125,42
2,1,26,2,44,1,942,28
3,1,37,6,36,52,988,38
4,2,1,1,1,1,88,1
5,6,66,9,1,45,1108,33
5,1,23,3,2,1,467,57
42,3,29,1,2,2,428,2
18,1,67,4,61,3,19,57
19,470,61,8,60,3,406,48
20,3,3,1,58,3,270,27
21,1,87,594,61,10,700,32
22,2,16,1,846,35,288,56
23,4,89,5,60,2,49,33
24,3,90,3,62,11,310,46
25,1,25,1,47,1,504,49
26,5,28,1,8,39,232,60
1,6,33,1,4,1,26,7
2,5,35,1,5,8,49,59
2,4,40,3,7,1,369,58
3,1,17,10,63,1,93,38
4,2,20,14,11,1,426,37
5,13,13,1,68,2,286,50
6,20,19,41,35,8,394,30
5,5,23,1,22,8,360,31
6,5,72,1,40,1,239,36
7,6,13,14,11,2,277,65
20,5,102,26,1,2,534,68
21,1,51,7,1,3,54,45
22,3,42,612,1,1,208,16
1,1,59,16,1,38,575,27
190,65,6,3,2,2,558,75
190,4,63,6,3,7,185,24
452,3,14,14,4,1,94,1
531,1,99,1,38,1,239,26
452,4,29,3,38,1,740,25
1,1,72,2,1,1,22,31
2,2,73,1,1,5,465,32
293,5,6,1,3,1,500,52
9,5,74,1,4,1,1160,47
10,5,14,2,4,1,326,49
13,5,8,38,297,1,130,42
7,1,100,2,31,2,314,46
14,637,5,34,32,2,79,35
32,638,17,1,33,1,406,6
42,4,15,18,35,1,238,25
499,22,53,2,2,11,534,45
19,4,56,1,4,1,220,40
28,4,48,1,152,2,1067,18
2,1,53,4,4,2,948,25
1,19,45,10,5,3,154,37
2,2,56,6,7,6,145,19
3,1,58,22,9,2,234,34
452,1,58,1,9,3,11,25
1,1,43,1,10,2,73,35
2,1,37,1,2,15,122,50
3,2,14,1,6,1,245,16
3,2,12,38,1,1,50,48
18,3,46,3,8,1,27,19
1,3,47,3,149,1,852,23
1,4,31,30,9,1,67,60
1,3,16,1,6,1,476,17
1,4,7,1,13,1,277,55
2,4,5,1,11,1,849,40
3,4,7,1,6,2,29,39
3,4,18,2,3,1,90,1
4,4,14,860,2,1,39,40
239,4,20,1,4,1,157,26
2,4,43,1,5,1,231,40
520,3,65,2,6,1,886,25
1,1,11,1,6,1,213,12
1,4,1,880,2,2,470,1
1,1,26,2,3,3,46,42
1,5,34,889,4,3,22,7
24,1,49,1,14,1,136,44
16,2,38,5,3,1,47,15
1,3,21,29,4,2,298,47
12,4,44,29,5,2,191,3
13,4,24,2,4,2,158,46
1,3,47,1,3,2,468,36
1,4,26,1,11,6,300,32
2,4,30,3,7,2,276,42
2,4,17,60,1,8,646,36
3,4,20,1,1,1,202,1
509,4,53,1,1,2,359,36
1,4,65,2,33,3,405,21
2,4,68,1,32,3,823,37
3,4,5,1,2,4,755,13
8,4,51,1,3,1,604,60
30,1,55,14,110,1,530,32
3,313,59,16,5,2,634,35
108,314,61,8,109,19,439,31
463,5,82,8,5,11,184,59
2,4,55,11,15,23,414,6
132,1,59,6,16,18,750,15
1,4,64,1,17,19,351,1
1,1,67,1,18,1,436,52
1,1,70,1,19,2,881,13
1,3,72,2,757,3,140,83
1,1,72,4,20,5,15,12
1,4,73,1,21,9,75,11
211,5,74,1,22,2,21,10
212,3,38,2,2,3,293,47
1,1,49,1,36,3,280,39
11,499,57,1,35,2,351,28
2,4,101,1,2,3,181,75
2,4,42,3,774,3,19,70
1,4,25,1,1,2,434,45
1,5,29,2,2,2,628,38
1,5,32,623,4,2,512,43
1,4,49,337,5,9,901,4
2,4,40,154,6,1,142,42
2,4,38,3,6,1,104,17
3,189,42,329,89,2,390,48
18,37,48,1,7,8,877,16
19,4,9,1,16,7,361,14
2,4,9,5,15,1,832,11
3,4,52,380,15,1,286,24
2,196,55,78,16,1,310,23
3,4,48,1,6,1,153,91
4,1,89,16,1,1,50,46
3,3,8,69,308,1,560,86
2,3,7,186,309,1,363,64
483,4,55,9,93,1,507,48
1,5,68,180,4,1,261,40
2,4,72,4,36,1,7,8
3,569,73,563,1,2,96,7
4,1,74,1,10,3,73,6
197,3,75,1,15,3,499,39
198,4,36,1,35,3,123,65
479,5,31,486,1,4,299,14
1,5,20,3,2,61,112,39
2,5,49,1,25,4,215,25
19,6,40,1,8,57,504,84
3,398,42,2,11,4,702,48
14,5,46,1,6,60,445,35
3,4,49,3,12,60,276,44
4,3,52,1,13,49,134,60
2,4,18,458,15,1,131,70
9,5,19,49,23,2,596,46
10,1,19,50,35,7,10,71
1,2,48,1,2,1,662,38
1,1,5,5,7,2,146,14
2,2,35,14,1,3,356,37
3,5,40,391,2,48,230,28
3,1,44,4,101,49,577,27
